price,priceh,product,desc
"5,709","5,750",Galax GeForce GTX 1080Ti EXOC,
"5,899",,MSI GeForce GTX 1080 Ti Founders Edition,
"4,299",,FORSA GeForce GTX 1080 Gaming Edition 8GB 256-bit GDDR5X,
"4,550","4,800",Zotac GeForce GTX 1080 AMP Edition,(ZT-P10800C-10P)
"4,900",,Inno3D GeForce GTX 1080 Founders Edition,(GTX1080FE)
,,,
"5,490","6,290",Inno3D iChill GeForce GTX 1080 Black,
"6,890","7,199",MSI GeForce GTX 1080 TI SEA HAWK EK X,(Backplate with RGB Mystic Light)
"5,999",,Zotac GeForce GTX 1080 Ti Founders Edition,(ZT-P10810A-10P)
"1,360",,Thermaltake Pacific V-GTX 1080Ti Founders Edition 透明水冷頭 (NVIDIA公版顯卡專用),(CL-W183-CU00TR-A)
"5,910",,MSI GTX 1080 Founders Edition,(THE ULTIMATE GRAPHICS FOR VIRTUAL REALITY)
,,,
"6,390",,Zotac GeForce GTX 1080 Founders Edition,(THE ULTIMATE GRAPHICS FOR VIRTUAL REALITY)
"6,090",,Galax GeForce GTX 1080 Ti Founders Edition,
"7,199","7,300",GIGABYTE GV-N108TAORUSX W-11GD,"(AORUS GeForce GTX 1080 Ti Waterforce Xtreme Edition 11G, 水之力-一體封閉式水冷散熱系統,造型金屬強化背板,極限超頻12+2相電源設計)"
"6,790",,Inno3D GeForce GTX 1080 Ti Founders Edition,
"5,700","5,895",GIGABYTE GV-N108TGAMING OC-11G,(GTX 1080 Ti Gaming OC 11GB GDDR5X)
"7,599","7,689",ASUS ROG-POSEIDON-GTX1080TI-P11G-GAMING,(ASUS ROG Poseidon GeForce GTX 1080 TI 11GB Platinum Edition DP HDMI DVI Gaming Graphics Card)
"19,398",,Acer Predator G1 G1-710-761080,
"3,999",,Future [最新7代CPU] i5-7400四核/GTX1050ti 4G/SSD超值高速组合,"((最新2017年Intel7代處理,配備最新DDR4記憶體,530Mb/s速度SSD,最新款Geforce GTX獨立顯咭,遊戲專用透明機箱))"
"5,699","6,500",ASUS TURBO-GTX1080TI-11G,(超合金電源技術 II)
"38,460","38,999",Razer Blade Pro (2017) 1TB,(17.3-inch 4K UHD G-SYNC touch display)
,,,
"5,330","5,880",ASUS ROG STRIX-GTX1080-O8G-GAMING,(THE ULTIMATE GRAPHICS FOR VIRTUAL REALITY)
"4,320","5,860",GIGABYTE GV-N1080G1 GAMING-8GD,"(GeForce GTX 1080 G1 Gaming, 風之力三風扇搭配獨特刀鋒扇葉造型)"
"4,699",,Future AMD RYZEN-5 1600六核極速高速打機组合,"(最新2017年AMD RYZEN處理器,媲美i7速度價錢平一半,配備最新DDR4 Ryzen認証記憶體,最新款Geforce GTX獨立顯咭,遊戲專用透明機箱)"
"25,289,25,299","25,399",MSI GT73VR TITAN Pro 4K-479 VR,
"19,780","19,800",HP OMEN by HP 870-273hk (Z8H01AA),
,,,
"5,880","6,009",GIGABYTE GV-N108TAORUS-11GD,(AORUS GeForce GTX 1080 Ti 11G)
"6,249","6,290",ASUS GTX1080TI-FE,(GeForce GTX 1080 Ti Founders Edition 11GB GDDR5X)
"47,480","47,780",ASUS GX800VH-GY004T,"(螢幕: 18.4"" (16:9) LED backlit UHD (3840x2160) Anti-Glare Panel with 100% Adobe with G-Sync)"
"13,700","15,300",Zotac MAGNUS EN1080K,
"27,960","29,359",MSI GT73VR 7RF Titan Pro,"(HDMI 1.4 x1, mDP 1.2 x1, Thunderbolt 3 x1, USB 3.0 x5)"
"6,500","7,190",MSI GeForce GTX 1080 Ti SEA HAWK X,
"4,300","4,490",Inno3D iChill GeForce GTX 1080,
"4,750","5,800",Zotac GeForce GTX 1080 AMP Extreme,(ZT-P10800B-10P)
"4,790","4,799",EVGA GeForce GTX 1080 FTW GAMING,"(08G-P4-6286-KR, 8GB GDDR5X, ACX 3.0 & RGB LED)"
"6,490",,EVGA GeForce GTX 1080 Ti FOUNDERS EDITION,"(11G-P4-6390, 11GB GDDR5X)"
,,,
"4,800","5,009",MSI GEFORCE GTX 1080 SEA HAWK 8G,(THE ULTIMATE GRAPHICS FOR VIRTUAL REALITY)
"5,480","5,690",Inno3D GTX 1080 Ti Twin X2 11GB,
"7,810","7,999",MSI GeForce GTX 1080 Ti LIGHTNING X,(通過MIL-STD-810G標準測試)
"5,909",,Leadtek WinFast GTX 1080 Ti 定制公版 11G GDDR5X,(全新一代NVIDIA Pascal GPU.提供你強而有力的效能)
"5,790","5,955",Zotac GeForce GTX 1080Ti Mini ,
,,,
"4,090","4,250",Inno3D GeForce GTX 1080 TWIN X2,
"4,399","5,699",EVGA GeForce GTX 1080 SC GAMING,"(08G-P4-6183-KR, 8GB GDDR5X, ACX 3.0 & LED)"
"1,369",,Thermaltake Pacific V-GTX 1080Ti 透明水冷頭 (ASUS ROG 顯卡專用),(CL-W184-CU00TR-A)
